,sm2codsr1607513,sm2codsr1141205,sm2codsr1565968,sm2codsr1700094,sm2codsr1420804,sm2codsr1825743,sm2codsr1226591,sm2codsr1860946,sm2codsr1777651,sm2codsr154280,sm2codsr131814,sm2codsr1588247,sm2codsr1268317,sm2codsr1277992,sm2codsr1794301,sm2codsr123342,sm2codsr1677822,sm2codsr1448680,sm2codsr1550128,sm2codsr1510340,sm2codsr1664298,sm2codsr1571876,sm2codsr1821026,sm2codsr1692479,sm2codsr1676043,sm2codsr1792645,sm2codsr1595801,sm2codsr1684705,sm2codsr1117728,sm2codsr1358791,sm2codsr1413907,sm2codsr1649260,sm2codsr1485533,sm2codsr1379814,sm2codsr1231497,sm2codsr1161760,sm2codsr1129238,sm2codsr1678504,sm2codsr1495497,sm2codsr1609492,sm2codsr1855524,sm2codsr1387658,sm2codsr1563503,sm2codsr1488798,sm2codsr1616839,sm2codsr1245425,sm2codsr1394164,sm2codsr198670,sm2codsr1573629,sm2codsr1712716,sm2codsr1854455,sm2codsr125524,sm2codsr1701904,sm2codsr1136116,sm2codsr134873,sm2codsr1830606,sm2codsr1201711,sm2codsr1731861,sm2codsr154436,sm2codsr1562755,sm2codsr1604761,sm2codsr1348291,sm2codsr1593158,sm2codsr1842847,sm2codsr1693399,sm2codsr1668933,sm2codsr1617067,sm2codsr1411738,sm2codsr1803498,sm2codsr1283548,sm2codsr1152494,sm2codsr1441074,sm2codsr1680436,sm2codsr1232004,sm2codsr1690075,sm2codsr13545,sm2codsr1789293,sm2codsr1841394,sm2codsr1702928,sm2codsr1271790,sm2codsr1327257,sm2codsr1307682,sm2codsr1827632,sm2codsr1176721,sm2codsr1293924,sm2codsr1133934,sm2codsr1594520,sm2codsr1863352,sm2codsr126845,sm2codsr1157658,sm2codsr1863199,sm2codsr1851206,sm2codsr1797864,sm2codsr1634016,sm2codsr1188898,sm2codsr1710679,sm2codsr1105613,sm2codsr1568286,sm2codsr1173127,sm2codsr1499519,sm2codsr122070,sm2codsr1142955,sm2codsr1706896,sm2codsr1485556,sm2codsr1286985,sm2codsr1795963,sm2codsr169156,sm2codsr1123541,sm2codsr1834747,sm2codsr1854964,sm2codsr1614209,sm2codsr2707693,sm2codsr2545093,sm2codsr2583581,sm2codsr2356988,sm2codsr2419426,sm2codsr2250477,sm2codsr2741941,sm2codsr2455676,sm2codsr2222036,sm2codsr2230221,sm2codsr2182422,sm2codsr2479637,sm2codsr261239,sm2codsr241558,sm2codsr2514885,sm2codsr2283852,sm2codsr2468587,sm2codsr2114374,sm2codsr2232925,sm2codsr2842332,sm2codsr22450,sm2codsr2860955,sm2codsr2347703,sm2codsr2243573,sm2codsr2521407,sm2codsr2713752,sm2codsr2178244,sm2codsr2760479,sm2codsr2207747,sm2codsr2530694,sm2codsr212387,sm2codsr2134716,sm2codsr2625230,sm2codsr2254596,sm2codsr2152332,sm2codsr2362080,sm2codsr2583518,sm2codsr2793896,sm2codsr254085,sm2codsr2670111
Otu1_Coriobacteriales99%,0.3981694849242154,0.002017818892993512,0.0,1.0,0.005258274048871018,0.003453038674033149,0.008447640170082923,0.5502337011516407,0.8186448184233835,0.1664323374340949,0.9827209660842754,0.042167531317221306,0.05683690280065898,0.31698690878378377,0.7729141795994163,0.005080500894454383,0.21058379666401905,0.8287391072381292,0.4842435094001791,0.04886134332660709,0.11622772433370131,0.0,0.22118273695711554,0.23865423500337002,0.38145141451414516,0.008925619834710744,0.030499826046619508,0.06872149709073753,0.8318651857525852,0.9401078111232053,0.018400204446716074,0.0,0.0197613721103654,0.5180795500200884,0.9773691654879774,0.0012501838505662598,0.5790094339622641,0.19027027027027027,0.016591251885369532,0.013119203800045238,0.0027591643673630273,0.0,0.9534426229508197,0.0,0.9143518518518519,0.003328894806924101,0.5958747135217723,0.9956202096042547,0.009727626459143969,0.8419702411493073,0.5496630530325227,0.5729318912598655,0.0037403740374037406,0.5718518518518518,0.1895620875824835,0.352112676056338,0.5029253183434668,0.00937601034594245,0.37012006042776496,0.9956427015250545,0.19483315392895587,0.0,0.0033704952035260565,0.02211874272409779,0.834920634920635,0.21449704142011836,0.008041433828540275,0.0006844626967830253,0.010257272574407264,0.9231770833333334,0.2825647443920285,0.17340686274509803,0.0,0.0,0.01559792027729636,0.2663825253063399,0.036791006642820645,0.003769633507853403,0.0,0.02031832035218422,0.0026109660574412533,0.0,0.044714148834238264,0.8593272171253823,0.0,0.003963011889035667,0.004355400696864111,0.047582501918649274,0.9588607594936709,0.0,0.24881516587677724,0.0030120481927710845,0.0,0.002777777777777778,0.0022988505747126436,0.006896551724137931,0.2438563327032136,0.9767441860465116,0.7737642585551331,0.0,0.0,0.2223950233281493,0.0,0.024549918166939442,0.22514285714285714,0.22727272727272727,0.0,0.0,0.0189328743545611,0.5373831775700935,0.9574898785425101,3.222791582068388e-05,0.0778175313059034,0.07001130018612071,0.09083269931753404,0.18472756259964362,0.8110127826941986,0.0981904367781498,0.698599995685657,0.48143496349791975,0.18978951629224852,0.00677692116388958,4.7413588734531315e-05,0.034395973154362415,0.7068038499834053,0.04382140160280613,0.9968788646133915,0.2993150465704318,0.67643391521197,0.0071066704193639176,0.448457745671368,0.07951753406298862,0.0,0.20911839962782042,0.0,0.9954033555504481,0.0,0.016906631762652707,0.08009153318077804,0.06696562032884903,0.07671957671957672,0.0003856165043863877,0.08017260958437429,0.007830996175560007,0.16063348416289594,0.524416135881104,0.0,0.0821917808219178,0.6047120418848168,0.03821656050955414,0.10434782608695652
Otu2_Erysipelotrichaceae92%,0.0,0.5185173687641635,0.0,0.0,0.0,0.006675874769797422,0.8184746217632684,0.0,0.0,0.031107205623901582,0.0012204522096608428,0.02758446159686195,0.27548965769723593,5.2787162162162165e-05,0.0,0.0,0.017043950225046334,0.0,0.022918531781557745,0.0011530700490054772,0.0,0.0,0.1330920513520896,0.0,0.053284132841328415,0.0,0.0,7.862871520679352e-05,0.0,2.5916135385891256e-05,0.24865831842576028,1.0,0.5799776286353467,0.0,0.0,0.9980879541108987,0.0,0.0,0.0,0.6009952499434517,0.00039416633819471815,0.0,0.0,0.0,0.0,0.004993342210386152,0.0,0.0,0.0,0.0,0.012159390565484911,0.012861736334405145,0.0,0.016296296296296295,0.27534493101379726,0.09076682316118936,0.0,0.0,0.12069650950147094,0.0,0.0,0.0,0.00025926886180969663,0.22390376406674428,0.1619047619047619,0.0,0.0,0.019164955509924708,0.0,0.0,0.0,0.0,0.0,0.0,0.8864818024263431,0.0,0.0,0.0,0.0,0.6024381984422621,0.0,0.0,0.24337272436921112,0.0,1.0,0.0,0.0,0.0007674597083653108,0.0,0.016129032258064516,0.0,0.0,0.0,0.019444444444444445,0.9961685823754789,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9985401459854014,0.5826513911620295,0.0,0.0,1.0,0.13089005235602094,0.0,0.016355140186915886,0.0,0.0,0.6377459749552773,0.0,0.4324517674846417,0.7224514676920192,0.0,0.0,0.0,0.05165240599733103,0.4454310868245294,0.0013678189505098234,0.9963017400787065,0.2462248322147651,0.0,0.33193676467006067,0.0,0.6183945203725635,0.0,0.0,0.00022933149868134388,0.6450748268930087,1.0,0.010886252616887648,0.042483660130718956,0.0,0.0,0.0,0.8775743707093822,0.8191330343796711,0.6781305114638448,0.0346090812686783,0.6334317510788099,0.0,0.029411764705882353,0.0,0.0,0.0,0.041884816753926704,0.3375796178343949,0.0
Otu3_Planococcaceae100%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otu4_Lactobacillaceae100%,0.3997598260361559,0.0,0.9984732824427481,0.0,0.994741725951129,0.10209484346224677,0.0,0.0657254372861755,0.0022143489813994687,0.09121265377855887,0.0,0.08680248007085917,0.6349075599487461,0.3957453547297297,0.22708582040058364,0.0,0.03839025681758009,0.0030232971723279387,0.19489704565801252,0.007206687806284232,0.0,0.0,0.07054083583720296,0.4455178611547967,0.37904059040590404,0.0,0.0,0.9176757351784872,0.002680965147453083,0.028766910278339296,0.003833375926399182,0.0,0.009134973900074572,0.0,0.02050919377652051,0.0,0.0,0.0,0.03361344537815126,0.007388976852899042,0.06267244777296019,0.0,0.0006557377049180328,0.0,0.04976851851851852,0.0988681757656458,0.34020881079704607,0.0,0.02217898832684825,0.0,0.09566363902724875,0.07570885705933937,0.10891089108910891,0.07407407407407407,0.4553089382123575,0.09859154929577464,0.0,0.0022631749110895573,0.26675677824600463,0.002178649237472767,0.0,0.0,0.05652061187451387,0.002328288707799767,0.0,0.0,0.0,0.0027378507871321013,0.0021859761224146627,0.038411458333333336,0.0,0.31004901960784315,1.0,0.08744394618834081,0.0,0.0,0.17629024016351558,0.05570680628272251,0.01465457083042568,0.013206908228919742,0.0,0.0,0.659214308527627,0.0,0.0,0.0,0.0,0.012279355333844973,0.006329113924050633,0.12701612903225806,0.0,0.060240963855421686,0.013866231647634585,0.09583333333333334,0.0,0.029885057471264367,0.7561436672967864,0.0,0.16730038022813687,0.0,0.0,0.0,0.00145985401459854,0.006546644844517185,0.0,0.0,0.0,0.43455497382198954,0.10499139414802065,0.10046728971962617,0.010121457489878543,0.09819845950562377,0.2625223613595707,0.0007311885136931667,0.09257009186605045,0.06660883428678609,0.004523107177974435,0.6427147210413453,0.010526997001531592,0.08815448622340843,0.008222019834041692,0.0,0.0018965435493812526,0.0,0.14311317623630931,0.0088665870947312,0.0024340930059085645,0.05762890887558813,0.0,0.0,0.3240454076367389,0.24949743131561314,0.0,0.17771574784833682,0.04493464052287582,0.0,0.0,0.0,0.0,0.0,0.22663139329805995,0.07471319772486262,0.2559618441971383,0.0,0.01583710407239819,0.0,0.0,0.0013698630136986301,0.034031413612565446,0.006369426751592357,0.06260869565217392
Otu5_Porphyromonadaceae94%,0.1476096199409302,0.0,0.0015267175572519084,0.0,0.0,0.0,0.0,0.0007227870669300824,0.0,0.0,0.0,0.0,0.008282994691561412,0.08841849662162163,0.0,0.01330948121645796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002164821648216482,0.9838842975206612,0.0,0.0,0.0,0.0,0.0002555583950932788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003941663381947182,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0004692632566870014,0.0015564202334630351,0.0,0.0,0.0,0.0008800880088008801,0.0,0.0,0.20031298904538342,0.0,0.0,0.0,0.0,0.0,0.006832797427652733,0.007259528130671506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716183691152402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9921671018276762,0.9956236323851203,0.0019163206643244969,0.0,0.0,0.015191545574636724,0.10017421602787456,0.029930928626247123,0.0,0.0,0.0,0.0030120481927710845,0.0,0.0,0.0,0.0022988505747126436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17741467659286475,0.0008944543828264759,0.0,0.0,0.0,0.0,0.22914864000601934,0.0,0.0,0.06263914187411455,0.0,0.0,0.0,0.0,0.005724307602367671,0.0,0.0,0.0,0.0,0.0,0.0008934554389099843,0.0,0.12942544777855317,0.0,0.0,0.0,0.9606239092495636,0.0,0.08550074738415546,0.0026455026455026454,0.0,0.0013627072450601862,0.0,0.4502262443438914,0.0,0.0,0.0,0.29581151832460734,0.0,0.0
Otu6_Clostridiaceae1100%,0.0,0.21767609350262315,0.0,0.0,0.0,0.809622467771639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056401074306177265,0.0,0.0,0.0,0.5311390330510789,0.31577173668838465,0.012742927429274293,0.0,0.0,0.0,0.0,0.0,0.01507794531050345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306267244777296,1.0,0.0,0.0,0.0,0.8115845539280959,0.0,0.0,0.8217898832684825,0.0,0.0,0.0,0.15445544554455445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3036038371791548,0.019014357780364765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.842741935483871,0.0,0.3313253012048193,0.0,0.8777777777777778,0.0,0.2597701149425287,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3391549231799961,0.003282378317546657,0.0,0.0,2.1571715167072936e-05,0.3782086506005181,0.07227787897186805,0.9918552598856006,0.0,0.0,3.318951211417192e-05,0.11933354444254987,0.0,0.00046410395928688024,0.3229426433915212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47558386411889597,0.0,0.0,0.0,0.11146496815286625,0.0
Otu7_Lachnospiraceae100%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022143489813994686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.920049200492005e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018642803877703205,0.0,0.0,0.0,0.0,0.0,0.0,0.00015079544597753147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010116731517509728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006028938906752411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003386386725364037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2003069838833461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008389261744966443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003272251308900524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otu8_Porphyromonadaceae100%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006073642920409971,0.0,5.2787162162162165e-05,0.0,0.0,0.0,0.0,0.00017905102954341988,0.0,0.0,0.0,0.0,0.0,0.0062976629766297665,0.00011019283746556474,0.0006958135219761104,0.0,0.0,0.0,0.0,0.0,0.3819910514541387,0.11892326235435918,0.0,0.0,0.0,0.0,0.0,0.3705798084897836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007003891050583658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333027417689572,0.0,0.0003180408682515703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002725909772386534,0.0,0.0,0.0,0.0,0.0,0.0,0.13228699551569506,0.0,0.0,0.0,0.0,0.9853454291695743,0.3501523874026414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012096774193548387,0.0,0.0,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37315875613747956,0.0,0.0,0.0,0.0,0.8709122203098106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17751556866601115,0.00022572514201873518,4.314343033414587e-05,0.0,0.0,0.0,0.0,0.005453020134228188,0.0,0.0003410225805665847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1055129099790649,0.0,0.0,0.0,0.0,0.0011441647597254005,0.0,0.0,0.001156849513159163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otu9_Porphyromonadaceae87%,0.0,0.0,0.0,0.0,0.0,0.0363720073664825,0.0,0.002770683756565316,0.0,0.0,0.0,0.04830444135138555,4.576240161083654e-05,0.006070523648648648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003619229718656105,0.0,9.84009840098401e-05,0.00674931129476584,0.00011596892032935173,0.0,0.0,0.0,0.005877843087145413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09006679594914889,0.0,0.0,0.0,0.0,0.9166140240050537,0.0,0.037283621837549935,0.0,0.003754106053496011,0.0,0.15802975885069268,0.0001464986815118664,0.0001948747929455325,0.0,0.0,0.0,0.001564945226917058,0.0,0.0,0.0004770613023773555,0.0,0.0,0.00040192926045016077,0.0,0.006596818005432673,0.0,0.0,0.9915496797056017,0.0,0.0,0.0,0.0008664677000096274,0.0,0.0,0.0,0.0,0.0,0.0,0.032460732984293195,0.0,0.0,0.0,0.0,0.00031938677738741617,0.14067278287461774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.222791582068388e-05,0.0,0.0,0.0007835299728603387,0.0,0.0,0.01798276964749257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006089688938689012,0.0,0.0,0.0,0.0,0.001834651989450751,0.0,0.0,0.001767852989067225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009554140127388535,0.0
Otu10_Lachnospiraceae38%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027923673685732182,0.0,0.0,0.0,0.0,0.0,0.0022170608108108107,0.0,0.0,0.0,0.0,0.0006266786034019695,0.0,0.0,0.0,0.010857689155968315,0.0,0.01062730627306273,0.0,0.708222196451351,0.0,0.0,0.0,0.13774597495527727,0.0,0.0,0.0001004419445560466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030557677616501145,0.0,0.0007782101167315176,0.0,0.0,0.0,0.0,0.0,0.0014997000599880025,0.0,0.0,0.0011854725724754823,0.0003180408682515703,0.0,0.0,0.0,0.0,0.1478463329452852,0.0,0.0,0.0,0.0,0.0005044560282495376,0.0,0.0,0.26838235294117646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008944543828264758,0.0,0.0026912551241724675,0.0,0.0,0.0,4.314343033414587e-05,0.0,0.0,0.0,0.0012327533070978143,0.0050335570469798654,0.1476269498838367,0.0,0.0,0.0,0.0,0.0,0.013989221419561977,0.00915791824882734,0.0,0.04107932077227262,0.8129084967320261,0.0,0.0,0.017342931937172776,0.0,0.0,0.007054673721340388,0.0,0.011128775834658187,0.0,0.11990950226244344,0.0,0.0,0.0,0.0,0.0,0.0
